uuid,inat_id,obscured,geoprivacy,taxon_geoprivacy,positional_accuracy,public_positional_accuracy,location_precision,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,kingdom,phylum,class,order,family,genus,taxon_id,taxon_rank,taxon_name,common_name
d2213c19-74ab-43d6-a0ed-af9d7efc4a92,101294157,False,,,65.0,65.0,precise,2021-11-16 16:09:00+00:00,2021-11-16,-122.6759567261,45.4412689209,84QVC800+,92.0,,2.8,11.1,0.0,3.2,,1029.4,Cerrena unicolor,Portland,1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
34855141-d3e0-4fc9-adf7-5b9cf2e18ca5,98506913,False,,,4288.0,4288.0,coarse,2021-10-11 16:22:38-07:00,2021-10-11,-122.4328175,45.5108275,84QVGH00+,98.0,,6.1,15.0,0.0,2.5,,1024.4,Cerrena unicolor,"NW 20th St, Gresham, OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
515b2923-9553-4416-bdeb-891fc629d37c,98349154,False,,,259.0,259.0,precise,2021-10-15 15:43:29-07:00,2021-10-15,-122.7919048816,45.5827636676,84QVH600+,316.0,,8.3,18.3,0.0,3.8,,1022.5,Cerrena unicolor,"Northwest Portland, Portland, OR, USA",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
945c4ce2-e606-46cb-9058-5bb8f4352f46,98122871,False,,,4.0,4.0,precise,2021-10-13 09:48:28-07:00,2021-10-13,-122.7748416667,45.5781366667,84QVH600+,259.0,,4.4,11.7,,4.9,,1020.0,Cerrena unicolor,"Forest Park Conservancy, Portland, OR, US",2,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
4767ce50-5ee4-43f0-b572-48cd60a18541,97869636,False,,,33.0,33.0,precise,2021-10-07 18:24:00-07:00,2021-10-07,-122.4666153823,45.5001515262,84QVGG00+,176.0,,7.2,16.7,0.0,3.5,,1019.4,Cerrena unicolor,"Centennial, Gresham, OR, USA",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
70fd4f5d-49b1-45a0-9193-40afe5795f02,97841406,False,,,4.0,4.0,precise,2021-10-10 14:43:56-07:00,2021-10-10,-122.25863362,45.40911208,84QVCP00+,163.0,,8.9,15.6,,7.9,,1022.7,Cerrena unicolor,"Sandy, OR 97055, USA",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
448072a4-5227-48ca-b174-dfc0f7c73ecd,67488925,False,,,,,unknown,2021-01-02 15:17:06-08:00,2021-01-02,-122.753475,45.6032694444,84QVJ600+,43.0,,9.4,11.1,,16.3,,1012.5,Cerrena unicolor,"St. Johns, Portland, OR, USA",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
024ea902-3da2-4b2a-ab2b-1fcb78ee15a0,65061470,False,,,352.0,352.0,precise,2020-11-15 15:01:09+00:00,2020-11-15,-122.6782073826,45.4404676943,84QVC800+,78.0,,8.3,13.3,0.8,16.9,,1017.7,Cerrena unicolor,Tryon Creek State Natural Area,1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
684b29af-c81a-4eb8-90d1-9ec1db91320e,48861148,False,,,,,unknown,2020-06-07 13:39:15-07:00,2020-06-07,-122.7830361111,45.5744805556,84QVH600+,315.0,,10.0,16.1,,7.5,,1017.0,Cerrena unicolor,"Northwest Portland, Portland, OR, USA",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
1d77faa0-0e33-4a4c-8694-e3b2630de45b,43833745,False,,,,,unknown,2020-04-26 13:42:05-07:00,2020-04-26,-122.257456,45.2745347997,84QV7P00+,326.0,,5.0,20.6,,6.1,,1018.7,Cerrena unicolor,"Estacada, OR 97023, USA",2,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
777b3c04-63d7-44c5-bb73-7b4a8ac6e6b3,37807703,False,,,30.0,30.0,precise,2020-01-20 13:30:16-10:00,2020-01-20,-122.75192167,45.54870333,84QVG600+,244.0,,5.0,8.3,0.0,11.3,,1013.0,Cerrena unicolor,"Forest Park, Portland, OR, US",3,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
37a8aea4-2937-4ad5-8c29-a187a37db961,37807693,False,,,30.0,30.0,precise,2020-01-20 13:11:47-10:00,2020-01-20,-122.74846667,45.54937,84QVG700+,276.0,,5.0,8.3,0.0,11.3,,1013.0,Cerrena unicolor,"Forest Park, Portland, OR, US",2,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
4490b183-5236-48a9-96a4-3d20afb774f2,37315002,False,,,1100.0,1100.0,coarse,2020-01-05 14:04:01+00:00,2020-01-05,-122.6730522,45.4409977,84QVC800+,85.0,,5.6,9.4,6.6,16.9,,1028.6,Cerrena unicolor,"Forest Highlands, Portland, OR, USA",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
79a2fc33-82de-4aa3-af7b-8000faf308ea,37054874,False,,,10.0,10.0,precise,2019-12-27 14:27:49-10:00,2019-12-27,-122.812775,45.60379667,84QVJ500+,240.0,,3.3,6.7,,9.0,,1022.7,Cerrena unicolor,"Forest Park, Portland, OR, US",3,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
43fcfaee-23ea-47f6-904d-d74ceb749628,36238904,False,,,32.0,32.0,precise,2019-11-30 13:44:04-08:00,2019-11-30,-122.7331227433,45.5417960633,84QVG700+,266.0,,-5.6,10.0,,10.9,,1015.6,Cerrena unicolor,"Forest Park, Multnomah County, US-OR, US",3,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
3eda869d-23bc-45f5-b1bd-3bf43ec7a4a0,36231571,False,,,19.0,19.0,precise,2019-11-30 13:43:49-08:00,2019-11-30,-122.7334390444,45.5413893869,84QVG700+,275.0,,-5.6,10.0,,10.9,,1015.6,Cerrena unicolor,"Northwest Industrial, Portland, OR, USA",3,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
093d0370-7f89-4af7-86ef-d8604c7eeea0,35725612,False,,,,,unknown,2019-11-15 13:46:24+00:00,2019-11-15,-122.7332992554,45.541759491,84QVG700+,266.0,,6.1,13.9,,6.4,,1021.2,Cerrena unicolor,"Portland, OR 97210, USA",2,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
bcce75e7-ede4-43a8-90ab-1190eb57218e,35717434,False,,,14959.0,14959.0,coarse,2019-11-15 13:28:41+00:00,2019-11-15,-122.7323046762,45.5324674865,84QVG700+,230.0,,6.1,13.9,,6.4,,1021.2,Cerrena unicolor,"Multnomah County, US-OR, US",2,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
15c8f389-c995-4373-a8b9-594a198fd2a7,25987772,False,,,,,unknown,2017-09-15,2017-09-15,-122.654,45.5049,84QVG800+,20.0,,9.4,26.7,0.0,4.0,,1017.2,Cerrena unicolor,"1200 SE Division St., Portland, Multnomah Co., Oregon, USA",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
f3611a1f-6ee8-4161-a505-cd4f2a8928c1,24649250,False,,,5.0,5.0,precise,2019-05-05 12:11:52-10:00,2019-05-05,-122.7644283333,45.65007,84QVM600+,3.0,,7.8,23.9,0.0,9.0,,1011.4,Cerrena unicolor,"Kelley Point Park, Portland, OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
9ee1b5f8-e68b-42d5-9ecf-1c00661faa67,20701820,False,,,22.0,22.0,precise,2019-02-22 20:25:27-08:00,2019-02-22,-122.6150501556,45.5113205065,84QVG900+,56.0,,-0.5,7.8,6.4,14.0,,1019.1,Cerrena unicolor,"1544 SE 46th Ave, Portland, OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
61b15b2f-7ea9-4717-a344-778d0587316a,16894435,False,,,,,unknown,2018-09-22 10:59:00-07:00,2018-09-22,-122.7696,45.5678583333,84QVH600+,212.0,,12.8,21.1,,11.4,,1015.7,Cerrena unicolor,"Northwest Portland, Portland, OR, USA",2,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
6af2c5df-83cb-45fc-95d5-18cdb5934699,5470176,False,,,5.0,5.0,precise,2017-03-26 16:29:46-07:00,2017-03-26,-122.5637377427,45.5478947936,84QVGC00+,139.0,,6.7,10.0,16.8,14.8,,1011.7,Cerrena unicolor,"3180–3184 NE Rocky Butte Rd, Portland, OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
40d772eb-7943-4548-a2f0-9342041ceca7,1352334,False,,,5.0,5.0,precise,2015-03-26 13:54:11-07:00,2015-03-26,-122.628387,45.563542,84QVH900+,53.0,,7.2,22.8,0.0,4.0,,1023.6,Cerrena unicolor,"5618 NE 35th Ave, Portland, OR, US",2,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
b3f2158c-ad10-4e0b-9fc7-da01e01c05a4,237225548,False,,,3.0,3.0,precise,2024-08-21 17:21:53-06:00,2024-08-21,-104.87896237,38.82876257,85CQR400+,1955.0,,15.5,29.0,2.2,14.0,,1023.4,Cerrena unicolor,"Bear Creek Regional Park, Colorado Springs, CO 80906, USA",5,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
7bb87a20-4605-486b-994d-5ea1912bf52a,229585021,False,,,6.0,6.0,precise,2024-07-15 15:41:05-06:00,2024-07-15,-103.3990020752,43.7622299194,85MRQJ00+,1373.0,,14.4,28.3,,9.9,,1012.4,Cerrena unicolor,"Custer County, US-SD, US",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
55e96a0a-26c6-415f-ad16-e481cca97bae,92034369,False,,,,,unknown,2021-08-19 15:30:44-05:00,2021-08-19,-105.0741888889,38.0566888889,85CP3W00+,2640.0,,,,,,,,Cerrena unicolor,"Beulah, CO 81023, USA",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,194476,species,Cerrena unicolor,Mossy Maze Polypore
