uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,ndvi,soil_moisture,prcp_d0,prcp_d1,prcp_d2,prcp_d3,prcp_d4,prcp_d5,prcp_d6,land_cover,land_cover_label,slope,aspect,solar_exposure,wind_exposure,water_retention,tmax_d0,tmin_d0,tmax_d1,tmin_d1,tmax_d2,tmin_d2,tmax_d3,tmin_d3,tmax_d4,tmin_d4,tmax_d5,tmin_d5,tmax_d6,tmin_d6
036b8a74-5257-4ff9-956d-b16a16056317,389204223,2026-08-07 10:56:09-06:00,2026-08-07,-105.1272289158,38.6486453168,2871.0,,20.0,38.0,0.0,9.4,,,Boletus rubriceps,"Colorado, US",2,,,,,,,,,,10,Tree cover,,,,,,24.9,12.6,25.8,9.5,24.3,9.3,23.0,9.2,25.4,15.1,25.7,11.1,22.4,11.0
d9081dc6-8aa0-40c6-ade5-fdd19dd7ac1f,389378203,2026-08-07 08:48:54-06:00,2026-08-07,-106.1670041681,39.700491728,2945.0,,10.0,20.0,0.0,4.7,,1020.3,Boletus edulis,"Summit County, US-CO, US",1,,,,,,,,,,10,Tree cover,,,,,,26.4,6.1,24.3,4.8,24.1,5.1,24.4,5.6,25.2,6.9,26.5,6.6,23.2,5.7
b950656d-f5a5-481f-b2b2-acf11372f645,389378477,2026-08-07 09:53:04-06:00,2026-08-07,-106.1397090016,39.7450364422,2667.0,,10.0,20.0,0.0,4.7,,1020.3,Boletus rubriceps,"Summit County, US-CO, US",1,,,,,,,,,,30,Grassland,,,,,,28.1,7.6,26.0,7.2,25.8,7.3,25.9,8.2,27.1,9.4,28.1,9.1,24.9,7.9
7e16f3c3-5b89-4bc9-ad35-775c2d3c5577,389419757,2026-08-08 09:38:36-06:00,2026-08-08,-105.8535380289,39.7007031701,3130.0,,10.0,16.0,1.6,12.1,,1021.0,Boletus edulis,"Clear Creek County, US-CO, US",1,,,,,,,,,,10,Tree cover,,,,,,22.7,10.8,23.5,8.9,21.8,8.7,21.4,6.4,22.0,6.3,23.1,12.4,23.8,8.5
c72b6b52-37db-4589-b479-b1dc5e448c7d,389420876,2026-08-08 10:11:21-06:00,2026-08-08,-105.8535205945,39.7004488224,3130.0,,10.0,16.0,1.6,12.1,,1021.0,Suillus brevipes,"Clear Creek County, US-CO, US",1,,,,,,,,,,10,Tree cover,,,,,,22.7,10.8,23.5,8.9,21.8,8.7,21.4,6.4,22.0,6.3,23.1,12.4,23.8,8.5
cc31661d-6862-469c-941f-9b9a022c1432,389422287,2026-08-08 11:32:13-06:00,2026-08-08,-105.8493306488,39.6988755087,3143.0,,10.0,16.0,1.6,12.1,,1021.0,Boletus rubriceps,"Clear Creek County, US-CO, US",1,,,,,,,,,,10,Tree cover,,,,,,22.6,10.7,23.4,8.8,21.7,8.6,21.3,6.3,21.9,6.2,23.0,12.3,23.7,8.4
308a950f-b309-48a8-9f7e-946ab95b4221,389434805,2026-08-08 11:22:30-06:00,2026-08-08,-105.702993409,39.8226358224,3600.0,,10.0,16.0,1.6,12.1,,1021.0,Boletus rubriceps,"Colorado, US",1,,,,,,,,,,100,Moss and lichen,,,,,,19.7,6.1,20.6,4.5,18.7,4.0,18.1,3.3,19.0,2.7,20.4,8.3,21.3,5.3
ded9d0a8-083b-49c4-9aa2-64f0cd0b66a5,389440724,2026-08-08 09:14:35-06:00,2026-08-08,-107.7549283333,37.7463616667,3093.0,,15.0,26.0,0.0,4.0,,1018.3,Boletus rubriceps,"San Juan National Forest - Headquarters, Silverton, CO, US",1,,,,,,,,,,10,Tree cover,,,,,,22.5,3.8,25.0,1.0,22.4,1.8,23.3,3.0,23.5,2.5,23.3,5.7,23.7,4.3
f786c706-e74c-4624-afdf-8cfc493a725f,389463266,2026-08-08 10:09:28-06:00,2026-08-08,-105.7258387282,39.6960979382,2800.0,,10.0,16.0,1.6,12.1,,1021.0,Suillus tomentosus,"Woodward/Water St, Silver Plume, CO 80476, USA",1,,,,,,,,,,50,Built-up,,,,,,26.2,9.3,27.7,7.5,25.7,6.8,25.3,6.9,25.3,7.8,27.4,10.9,27.8,9.9
7f8da707-524d-4fb8-ab7b-2b28ebc986ca,389476296,2026-08-08 12:39:02-06:00,2026-08-08,-104.98057066,38.74041701,3118.0,,16.0,33.3,0.3,5.4,,,Boletus oregonensis,"Teller County, US-CO, US",1,,,,,,,,,,10,Tree cover,,,,,,24.1,11.1,22.7,10.8,23.7,7.9,23.0,7.7,20.3,7.1,24.7,12.7,24.3,9.5
